scene_id,date,cog_url,avg_cloud_pct,total_tiles,bounds_min_x,bounds_min_y,bounds_max_x,bounds_max_y
2026-02-06t101211,2026-02-06,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2026-02-06t101211/swisseo_s2-sr_v200_mosaic_2026-02-06t101211_cloudmask_10m.tif,95.51,1734,2800210.0,1116490.0,2839210.0,1215490.0
2026-02-04t102119,2026-02-04,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2026-02-04t102119/swisseo_s2-sr_v200_mosaic_2026-02-04t102119_cloudmask_10m.tif,95.35,33170,2597220.0,1058340.0,2839220.0,1303340.0
2026-02-02t103241,2026-02-02,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2026-02-02t103241/swisseo_s2-sr_v200_mosaic_2026-02-02t103241_cloudmask_10m.tif,91.2,15665,2479610.0,1058190.0,2758610.0,1303190.0
2026-02-01t101139,2026-02-01,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2026-02-01t101139/swisseo_s2-sr_v200_mosaic_2026-02-01t101139_cloudmask_10m.tif,32.97,3,2819210.0,1203490.0,2821210.0,1205490.0
2026-01-31t104159,2026-01-31,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2026-01-31t104159/swisseo_s2-sr_v200_mosaic_2026-01-31t104159_cloudmask_10m.tif,97.76,2685,2480220.0,1104390.0,2569220.0,1267390.0
2026-01-30t102251,2026-01-30,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2026-01-30t102251/swisseo_s2-sr_v200_mosaic_2026-01-30t102251_cloudmask_10m.tif,94.68,32151,2598220.0,1058340.0,2839220.0,1303340.0
2026-01-09t101051,2026-01-09,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2026-01-09t101051/swisseo_s2-sr_v200_mosaic_2026-01-09t101051_cloudmask_10m.tif,92.34,781,2799210.0,1116490.0,2839210.0,1215490.0
2025-07-03t100711,2025-07-03,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-07-03t100711/swisseo_s2-sr_v200_mosaic_2025-07-03t100711_cloudmask_10m.tif,85.32,1452,2800210.0,1116490.0,2839210.0,1215490.0
swisseo_s2-sr_v200,2025-07-03,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/swisseo_s2-sr_v200/swisseo_s2-sr_v200_mosaic_current_cloudmask_10m.tif,85.32,1452,2800210.0,1116490.0,2839210.0,1215490.0
2025-06-30t104041,2025-06-30,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-06-30t104041/swisseo_s2-sr_v200_mosaic_2025-06-30t104041_cloudmask_10m.tif,74.55,1829,2480220.0,1105390.0,2556220.0,1229390.0
